Date,Strategy,Ticker,Side,Type,Entry,Exit,Profit,SL-Factor,Hit-SL,Ticker-Group,Num-5min-Bars
2026-02-04,A,AAPL,Long,INTRADAY-5MIN,272.31,276.46,147.4,3.2,False,BIG + ETF,78
2026-02-04,A,CCEP,Long,INTRADAY-5MIN,93.84,94.85,105.06,1.6,False,BIG + ETF,78
2026-02-04,A,CM,Long,INTRADAY-5MIN,95.21,94.96,-28.77,3.2,False,BIG + ETF,78
2026-02-04,B,RELX,Long,INTRADAY-5MIN,29.74,29.43,-103.81,0.4,True,BIG + ETF,78
2026-02-04,B,MSCI,Short,INTRADAY-5MIN,575.14,570.66,74.16,0.4,False,BIG + ETF,78
2026-02-04,B,CME,Long,INTRADAY-5MIN,292.53,289.19,-115.4,0.6,True,BIG + ETF,78
2026-02-04,V,CRRFY,Long,INTRADAY-5MIN,3.55,3.55,-2.0,1.6,False,SMALL,13
2026-02-04,V,ASR,Long,INTRADAY-5MIN,364.82,361.34,-95.95,0.4,True,SMALL,62
2026-02-04,V,HNGKY,Long,INTRADAY-5MIN,44.77,44.32,-102.89,0.4,True,SMALL,9
2026-02-04,M,FTV,Long,INTRADAY-5MIN,54.5,60.11,1024.63,3.2,False,SMALL,78
2026-02-05,M,MTSI,Long,INTRADAY-5MIN,203.69,224.78,1031.41,3.2,False,SMALL,51
2026-02-05,A,CM,Long,INTRADAY-5MIN,92.82,94.5,177.76,3.2,False,BIG + ETF,78
2026-02-05,A,SMFG,Long,INTRADAY-5MIN,21.56,21.33,-108.95,0.8,True,BIG + ETF,78
2026-02-05,A,AMP,Long,INTRADAY-5MIN,545.0,537.1,-144.28,0.6,True,BIG + ETF,78
2026-02-05,B,ORLY,Short,INTRADAY-5MIN,93.07,92.88,18.33,3.2,False,BIG + ETF,78
2026-02-05,B,RELX,Long,INTRADAY-5MIN,31.15,30.84,-103.05,0.4,True,BIG + ETF,78
2026-02-05,B,AAPL,Long,INTRADAY-5MIN,278.02,273.53,-159.07,0.8,True,BIG + ETF,78
2026-02-05,V,RSHGY,Long,INTRADAY-5MIN,25.09,24.93,-65.68,1.6,False,SMALL,21
2026-02-05,V,UUGRY,Long,INTRADAY-5MIN,34.15,34.61,132.32,3.2,False,SMALL,5
2026-02-05,V,CRRFY,Long,INTRADAY-5MIN,3.53,3.55,54.64,1.6,False,SMALL,6
2026-02-05,M,COHR,Long,INTRADAY-5MIN,179.11,209.26,1656.25,0.6,False,SMALL,78
2026-02-05,M,MTSI,Long,INTRADAY-5MIN,203.69,227.82,1180.37,3.2,False,SMALL,78
